,090002.OF,165509.OF,161216.OF,050002.OF,159915.OF,165511.OF
0,0.10000000048662017,0.10000001149497958,0.6999999880193903,0.07999560638414967,0.010000000471045444,0.010004393143814636
1,0.10000000321590378,0.10000007454471575,0.699999922249085,0.07992014025078092,0.010000003137252729,0.010079856602261829
2,0.10000000021068156,0.10000000536775507,0.6999999944218024,0.07972759069176436,0.010000000194388337,0.010272409113608265
3,0.1000000009680191,0.1000000292536192,0.6999999697766205,0.07947365323358456,0.010000000794653312,0.01052634597350348
4,0.10000000012773283,0.1000000043494295,0.6999999955233196,0.07922413378474535,0.010000000094517682,0.010775866120255056
5,0.10000000003421546,0.10000000123163404,0.6999999987342375,0.07896993150837286,0.010000000023906077,0.011030068467633974
6,0.1000000010302202,0.10000003952304694,0.6999999594449211,0.07871253220147188,0.010000000669099184,0.0112874671312407
7,0.10000000046327862,0.10000001872575884,0.6999999808088044,0.07845643677401024,0.010000000282130543,0.011543562946017305
8,0.1000000002633519,0.10000001104748041,0.6999999886879472,0.07819819374056808,0.010000000152715387,0.011801806107937015
9,0.10000000015916753,0.10000000694831457,0.6999999928919766,0.07793840245853953,0.010000000087176535,0.012061597454825304
10,0.10000000010194446,0.10000000466319947,0.6999999952346863,0.07767716600755985,0.010000000051883987,0.012322833940725966
11,0.1000000000714917,0.10000000343351376,0.6999999964950002,0.07741450935530723,0.010000000033461633,0.012585490611225478
12,0.10000000005535285,0.10000000277677737,0.6999999971679438,0.07715044018438465,0.010000000023916343,0.012849559791624962
13,0.1000000000463009,0.10000000240636037,0.6999999975474283,0.07688495879306922,0.010000000018726588,0.013115041188114593
14,0.10000000405867708,0.10000021708444794,0.6999997788650335,0.076616652085177,0.010000001558958263,0.013383346347706191
15,0.10000000364406504,0.10000019978573499,0.6999997965766557,0.07634868655945834,0.01000000134295129,0.013651312091134658
16,0.1000000033084982,0.10000018554015214,0.6999998111558703,0.07607918113822207,0.0100000011774523,0.013920817679804928
17,0.10000000302060123,0.1000001730826836,0.6999998238993641,0.07580817450942968,0.010000001042840358,0.014191824445080948
18,0.1000000027683101,0.10000016196702917,0.6999998352656233,0.07553568273182903,0.01000000093087879,0.014464316336329731
19,0.1000000025471812,0.10000015205515077,0.6999998453971712,0.0752617110507474,0.010000000838177456,0.01473828811157201
20,0.10000000235997615,0.10000014292679336,0.6999998547115445,0.07498625972982952,0.01000000077520011,0.01501373949665624
21,0.10000000220441066,0.10000013531641094,0.6999998624766063,0.07470932595522987,0.010000000726899237,0.015290673320442932
22,0.10000000207541589,0.1000001290057229,0.6999998689156589,0.07443090571105397,0.010000000690799564,0.015569093601348685
23,0.10000000196822108,0.10000012378285533,0.6999998742453022,0.07415099403807857,0.010000000664534835,0.015849005301007885
24,0.10000000187854857,0.10000011945358747,0.6999998786639947,0.07386958530730739,0.01000000064594374,0.016130414050618103
25,0.10000000180269696,0.10000011584647471,0.6999998823468476,0.07358667337481352,0.010000000633126145,0.01641332599604109
26,0.10000000173755541,0.10000011281443344,0.6999998854440258,0.0733022516884827,0.010000000624466644,0.016697747691036095
27,0.10000000168057566,0.10000011023422763,0.6999998880812892,0.07301631336656217,0.010000000618633681,0.016983686018711818
28,0.1000000016398462,0.10000010866143585,0.6999998896949245,0.07272885097980072,0.010000000618532604,0.01727114840546016
29,0.10000000160029308,0.10000010715357402,0.6999998912425112,0.07243985752496472,0.010000000618183121,0.017560141860473947
30,0.10000000156013725,0.10000010560192676,0.6999998928345309,0.07214932541152484,0.0100000006166521,0.017850673975228156
31,0.10000000151989438,0.10000010404299417,0.6999998944339534,0.07185724684153082,0.010000000613990891,0.018142752547636382
32,0.10000000147990344,0.10000010250022644,0.6999998960169783,0.07156361389522867,0.010000000610257576,0.018436385497405627
33,0.10000000144038035,0.10000010098771994,0.6999998975692855,0.07126841854784496,0.010000000605515463,0.018731580849253776
34,0.10000000140145869,0.10000009951311405,0.6999998990830961,0.0709716526807103,0.01000000059983212,0.019028346721788804
35,0.10000000136321763,0.10000009807966107,0.6999999005550743,0.07067330808982615,0.010000000593277788,0.019326691318943094
36,0.10000000132569795,0.10000009668746852,0.6999999019850687,0.07037337649660856,0.010000000585922379,0.01962662291923393
37,0.10000000128893084,0.1000000953357069,0.6999999033738752,0.07007184955148772,0.010000000577841138,0.01992814987215822
38,0.10000000125293443,0.10000009402248616,0.699999904723364,0.06976871884148103,0.010000000569108427,0.02023128059062601
39,0.10000000121771223,0.10000009274482301,0.6999999060365136,0.06946397589356712,0.010000000559793679,0.020536023547590408
40,0.10000000118327725,0.10000009150052787,0.6999999073154995,0.06915761217751547,0.010000000549970257,0.02084238727320975
41,0.10000000114963895,0.10000009028732104,0.699999908562591,0.06884961910804792,0.010000000539708427,0.021150380352692587
42,0.10000000111681258,0.10000008910360736,0.6999999097793678,0.06853998804837837,0.010000000529078991,0.021460011422754974
43,0.1000000010848086,0.10000008794770655,0.6999999109674988,0.06822871030973977,0.010000000518148075,0.021771289172098262
44,0.10000000105363344,0.10000008681792341,0.6999999121286725,0.06791577715343708,0.01000000050697737,0.02208422233935616
45,0.10000000102329522,0.10000008571301779,0.6999999132641207,0.06760117979116716,0.010000000495626875,0.0223988197127723
46,0.10000000099382006,0.10000008463363036,0.6999999143731762,0.06728490938558968,0.010000000484163064,0.02271509012962052
47,0.10000000096531753,0.10000008358804466,0.6999999154474461,0.06696695704980926,0.010000000472691355,0.023033042476691076
48,0.10000000093769999,0.10000008256824656,0.6999999164950318,0.0666473138497272,0.010000000461219016,0.023352685688075355
49,0.10000000091089986,0.10000008156783585,0.6999999175224012,0.06632597080194204,0.010000000449760557,0.02367402874716063
50,0.10000000088493163,0.10000008058779764,0.6999999185285545,0.06600291887436763,0.010000000438368961,0.023997080685979746
51,0.10000000085980201,0.1000000796287124,0.6999999195129046,0.06567814898582901,0.010000000427093078,0.024321850585658902
52,0.10000000083550516,0.100000078690638,0.6999999204753997,0.06535165200657357,0.010000000415971377,0.024648347575912135
53,0.1000000008120568,0.10000007777588021,0.6999999214137185,0.06502341875754772,0.010000000405052955,0.024976580835743615
54,0.10000000078948908,0.10000007688876678,0.6999999223235016,0.06469344001058071,0.010000000394393839,0.02530655959326813
55,0.10000000076769697,0.10000007602068241,0.6999999232134689,0.06436170648813778,0.010000000383980055,0.025638293126033742
56,0.10000000074665207,0.10000007517033432,0.6999999240849424,0.06402820886295185,0.010000000373834155,0.025971790761285224
57,0.10000000072635108,0.10000007433916003,0.6999999249364879,0.06369293775768854,0.010000000363989778,0.026307061876322816
58,0.10000000070677173,0.10000007352692145,0.699999925768366,0.06335588374492976,0.010000000354469475,0.02664411589854159
59,0.10000000068789384,0.10000007273377358,0.6999999265804423,0.06301703734683975,0.010000000345295313,0.02698296230575508
60,0.10000000066987025,0.10000007196492193,0.6999999273673574,0.06267638903464906,0.010000000336605,0.02732361062659651
61,0.10000000065947251,0.1000000714592439,0.6999999278833974,0.06233392921871682,0.010000000332905688,0.027666070446263718
62,0.10000000064912984,0.10000007095652366,0.6999999283964219,0.0619896482809094,0.010000000329200568,0.028010351387814672
63,0.10000000063884651,0.10000007045795557,0.6999999289052323,0.06164353653916839,0.01000000032553429,0.028356463133262885
64,0.10000000062860467,0.10000006996230928,0.699999929411077,0.06129558425966613,0.010000000321937647,0.028704415416405216
65,0.10000000061840003,0.10000006946979692,0.6999999299137483,0.06094578165660005,0.01000000031844558,0.02905421802300905
66,0.10000000060822099,0.10000006897978936,0.6999999304138869,0.060594118892093866,0.01000000031508668,0.029405880790922077
67,0.10000000059807512,0.10000006849380465,0.6999999309099676,0.06024058607580009,0.010000000311896944,0.029759413610455476
68,0.10000000058791719,0.10000006800727597,0.6999999314066022,0.05988517326438381,0.010000000308882337,0.030114826424938526
69,0.10000000057778645,0.10000006752530284,0.6999999318986524,0.05952787046196547,0.010000000306090604,0.030472129230202413
70,0.1000000005688938,0.10000006710491591,0.699999932327884,0.05916866761828157,0.010000000304052825,0.03083133207597183
71,0.10000000056639943,0.10000006700710833,0.6999999324281748,0.058807554628361985,0.010000000304990443,0.031192445064964994
72,0.10000000056238563,0.10000006684741167,0.6999999325918623,0.05844452134022104,0.010000000305605673,0.03155547835251373
73,0.10000000055700745,0.1000000666296134,0.6999999328150056,0.058079557542413625,0.010000000305982842,0.0319204421499772
74,0.10000000055044216,0.1000000663613949,0.6999999330897472,0.05771265296941948,0.01000000030621474,0.0322873467227815
75,0.10000000054282522,0.10000006604662769,0.6999999334120817,0.05734379730091292,0.010000000306368365,0.032656202391184184
76,0.10000000053429182,0.10000006569024973,0.699999933776937,0.0569729801617827,0.010000000306508229,0.03302701953023052
77,0.10000000052496612,0.10000006529691725,0.6999999341795339,0.056600191121733215,0.010000000306691039,0.03339980857015861
78,0.10000000051495357,0.10000006486997996,0.699999934616418,0.05622541969493008,0.010000000306961663,0.0337745799967567
79,0.1000000005043744,0.10000006441559746,0.6999999350813106,0.05584865533988653,0.010000000307373283,0.03415134435145751
80,0.10000000049477736,0.1000000639959362,0.6999999355105087,0.05546988745985421,0.010000000309782174,0.03453011222914137
