,090002.OF,165509.OF,161216.OF,050002.OF,159915.OF,165511.OF
0,0.10000000099102697,0.6999999853260868,0.10000001367669718,0.07999149077022283,0.010000000986542875,0.010008508249423375
1,0.1000000014728882,0.6999999782708168,0.10000002024666563,0.07991751594325494,0.010000001463234404,0.01008248260313999
2,0.10000000003915867,0.6999999994173463,0.10000000054368541,0.07977083398830431,0.010000000035398594,0.010229165976106928
3,0.10000000043496965,0.6999999934967266,0.10000000606818733,0.07960811745893495,0.010000000365131332,0.010391882176050134
4,0.10000000010299863,0.6999999984550996,0.1000000014411751,0.07944628616718767,0.010000000080984372,0.010553713752554594
5,0.10000000003552661,0.6999999994677358,0.100000000496616,0.07928255841851142,0.01000000002688827,0.010717441554721919
6,0.10000000132510599,0.699999980155441,0.10000001852409102,0.07911633592549233,0.010000000956533969,0.010883663113335761
7,0.10000000064124659,0.6999999904100572,0.1000000089540236,0.07895123155709471,0.010000000446888787,0.01104876799068913
8,0.10000000036814025,0.6999999945113177,0.10000000512381985,0.0787844738380329,0.010000000251931863,0.01121552590675756
9,0.10000000021864204,0.6999999967517097,0.10000000303127678,0.07861649082455327,0.010000000147329305,0.011383509026488908
10,0.10000000013059068,0.6999999980662158,0.10000000180385053,0.07844737306784681,0.010000000086340928,0.011552626845155355
11,0.10000000008030903,0.6999999988141544,0.10000000110570008,0.07827714125149048,0.010000000051867243,0.011722858696478725
12,0.10000000005246844,0.6999999992271408,0.10000000072033927,0.07810580085214949,0.010000000033002393,0.011894199114899468
13,0.10000000003704908,0.6999999994554816,0.10000000050734674,0.07793335173907456,0.010000000022677489,0.01206664823837056
14,0.10000000002817266,0.6999999995868167,0.10000000038488274,0.07775979064087557,0.01000000001677978,0.012240209342472701
15,0.10000000002265981,0.6999999996683143,0.10000000030891783,0.07758511245754207,0.010000000013110279,0.012414887529455739
16,0.1000000018935549,0.699999972326817,0.10000002577142954,0.07740870257763117,0.010000001059399993,0.012591296371167475
17,0.10000000162343388,0.6999999762992144,0.10000002207158151,0.07723190112242125,0.010000000872055442,0.01276809801129356
18,0.10000000141889405,0.6999999792930758,0.10000001928423441,0.07705392757807752,0.010000000725338432,0.012946071700379843
19,0.10000000126112388,0.6999999815893144,0.10000001714724625,0.07687478729647573,0.010000000607692662,0.01312521209814702
20,0.10000000113910984,0.6999999833537494,0.10000001550586345,0.07669447983202915,0.010000000512664389,0.013305519656583864
21,0.1000000010454278,0.6999999846986572,0.10000001425531356,0.07651300190393581,0.010000000435989741,0.013486997660675982
22,0.10000000097395931,0.6999999857162019,0.10000001330963296,0.07633034887401101,0.010000000374203207,0.013669650751991565
23,0.1000000009404642,0.6999999861686897,0.1000000128908219,0.07614651392652261,0.0100000003293803,0.01385348574412121
24,0.10000000091738523,0.6999999864710946,0.10000001261152382,0.07596149260136206,0.01000000029336484,0.01403850710526945
25,0.10000000089486141,0.6999999867706805,0.10000001233439103,0.07577527878884095,0.010000000262763821,0.014224720948462347
26,0.10000000087380312,0.6999999870525717,0.10000001207342833,0.07558786547407718,0.010000000236889493,0.01441213428923015
27,0.10000000085470483,0.699999987308379,0.10000001183655861,0.07539924550457303,0.010000000215063396,0.014600754280721245
28,0.10000000084139067,0.6999999874722878,0.10000001168578294,0.07520941154961742,0.010000000196947646,0.014790588253973407
29,0.10000000083705143,0.699999987489346,0.100000011672865,0.07501835619123068,0.010000000182219764,0.014981643627286977
30,0.10000000083405325,0.6999999874897631,0.10000001167525566,0.07482607201585628,0.010000000169759177,0.015173927815312559
31,0.10000000083227738,0.6999999874748102,0.10000001169180846,0.0746325513943743,0.01000000015914318,0.015367448447586389
32,0.10000000083158207,0.6999999874465099,0.10000001172064611,0.0744377865992277,0.01000000015003534,0.015562213251998962
33,0.10000000083174879,0.6999999874077479,0.10000001175910206,0.07424176982334475,0.010000000142132232,0.015758230035924334
34,0.10000000083251012,0.6999999873618796,0.10000001180408734,0.07404449318065441,0.010000000135167567,0.015955506685701018
35,0.1000000008336678,0.6999999873116227,0.10000001185308156,0.07384594869968993,0.010000000128949851,0.016154051172988206
36,0.1000000008350493,0.6999999872593563,0.10000001190387676,0.07364612833511304,0.010000000123329293,0.016353871543275292
37,0.10000000083650999,0.6999999872070829,0.1000000119546137,0.0734450239705623,0.010000000118190383,0.016554975913040827
38,0.10000000083793255,0.6999999871564281,0.10000001200378247,0.07324262742239346,0.010000000113445252,0.016757372466018286
39,0.10000000083922345,0.699999987108688,0.10000001205017917,0.07303893044193485,0.010000000109027697,0.016961069450946838
40,0.1000000008404432,0.6999999870628155,0.10000001209478909,0.0728339247146112,0.010000000104905,0.017166075182435975
41,0.10000000084186554,0.6999999870144805,0.10000001214166665,0.07262760186133153,0.010000000101078363,0.0173723980395775
42,0.10000000084275806,0.6999999869749041,0.10000001218032369,0.07241995346280673,0.010000000097434859,0.01758004644177271
43,0.10000000084315926,0.6999999869434529,0.10000001221135407,0.07221097102399217,0.010000000093965641,0.017789028884075873
44,0.10000000084313,0.6999999869191526,0.1000000122356707,0.07200064599155016,0.010000000090667085,0.017999353919829555
45,0.10000000084282393,0.6999999868995874,0.10000001225553412,0.07178896975306057,0.010000000087546746,0.01821103016144722
46,0.10000000084205297,0.6999999868876573,0.10000001226823269,0.0715759336435909,0.010000000084577364,0.01842406627388875
47,0.10000000084085434,0.6999999868827724,0.10000001227431835,0.0713615289369076,0.010000000081757384,0.01863847098339001
48,0.10000000083926355,0.6999999868843705,0.10000001227431708,0.07114574684934523,0.010000000079085287,0.018854253073618262
49,0.10000000083730741,0.6999999868920265,0.10000001226862705,0.07092857853960642,0.010000000076558721,0.019071421385873935
50,0.10000000083501345,0.6999999869053043,0.10000001225765602,0.07071001510874617,0.010000000074175317,0.01928998481910472
51,0.10000000083240325,0.6999999869238621,0.1000000122417241,0.07049004759989407,0.010000000071931985,0.019509952330184554
52,0.10000000082948916,0.6999999869475029,0.10000001222101552,0.07026866699799482,0.010000000069824664,0.019731332934173
53,0.10000000082629772,0.6999999869758073,0.10000001219592258,0.07004586422943263,0.010000000067850299,0.019954135704689267
54,0.10000000082283628,0.6999999870086575,0.1000000121665561,0.06982163016203297,0.010000000066004022,0.020178369773913206
55,0.10000000081912988,0.6999999870456559,0.10000001213328776,0.06959595560442593,0.010000000064282234,0.020404044333218394
56,0.1000000008151834,0.6999999870867237,0.10000001209619158,0.06936883130598533,0.010000000062679554,0.020631168633236576
57,0.10000000081101713,0.6999999871315368,0.10000001205557098,0.06914024795631973,0.0100000000611917,0.020859751984363618
58,0.10000000080663378,0.6999999871800494,0.10000001201146907,0.06891019618509983,0.010000000059812943,0.021089803756935012
59,0.10000000080205669,0.6999999872318878,0.1000000119642358,0.06867866656145864,0.010000000058539054,0.02132133338182194
60,0.10000000079729637,0.6999999872868801,0.10000001191403285,0.06844564959381921,0.010000000057364814,0.02155435035060678
61,0.10000000079238089,0.6999999873450721,0.10000001186078547,0.0682111357290861,0.0100000000562965,0.021788864216378934
62,0.10000000078731631,0.6999999874060712,0.1000000118048804,0.06797511535335841,0.01000000005532184,0.02202488459305177
63,0.10000000078210286,0.699999987469649,0.10000001174654606,0.06773757879080021,0.010000000054430441,0.022262421156471382
64,0.10000000077674172,0.6999999875357791,0.10000001168580758,0.06749851630307294,0.010000000053616709,0.022501483644982088
65,0.10000000077125247,0.6999999876041381,0.10000001162296848,0.06725791808914829,0.010000000052876457,0.02274208185961622
66,0.10000000076564027,0.6999999876746336,0.10000001155811618,0.06701577428495349,0.010000000052204637,0.02298422566445183
67,0.10000000075991257,0.6999999877471356,0.10000001149137329,0.06677207496303374,0.01000000005159652,0.02322792498694847
68,0.10000000075407896,0.6999999878214783,0.10000001142289554,0.0665268101319532,0.010000000051047704,0.023473189818546365
69,0.10000000074814187,0.6999999878976113,0.10000001135273133,0.06627996973616504,0.010000000050553489,0.023720030214796965
70,0.10000000074211363,0.6999999879753241,0.10000001128107858,0.06603154365531794,0.01000000005011004,0.023968456296055707
71,0.10000000073599975,0.6999999880545142,0.10000001120803435,0.06578152170410068,0.010000000049713274,0.024218478247637627
72,0.10000000072980508,0.6999999881350912,0.10000001113368431,0.06552989363164588,0.010000000049359263,0.02447010632041435
73,0.10000000072353352,0.6999999882169784,0.10000001105810095,0.06527664912118765,0.010000000049044246,0.02472335083115525
74,0.10000000071719815,0.6999999882999499,0.1000000109814972,0.06502177778965651,0.010000000048765284,0.024978222162932974
75,0.10000000071079357,0.6999999883840814,0.10000001090380292,0.06476526918722995,0.010000000048518405,0.025234730765573733
76,0.10000000070433246,0.6999999884691525,0.10000001082522561,0.06450711279688523,0.010000000048301082,0.025492887156103032
77,0.10000000069781614,0.6999999885551281,0.1000000107457992,0.06424729803402808,0.010000000048110226,0.02575270191911817
78,0.10000000069124558,0.6999999886419812,0.10000001066554975,0.06398581424601431,0.010000000047942912,0.026014185707266237
