,090002.OF,165509.OF,161216.OF,050002.OF,159915.OF,165511.OF
0,0.10000000428991997,0.10000029549010032,0.6999997002331033,0.07998576880072789,0.010000013347412925,0.010014217838735481
1,0.10000000294261648,0.10000017117412338,0.6999998258750084,0.07995550895640646,0.010000009752993838,0.010044481298851486
2,0.10000000522698209,0.10000035557062027,0.6999996392182496,0.07974008894568017,0.010000015751973457,0.010259895286494404
3,0.10000000034128087,0.10000002522506385,0.699999974433286,0.07950351912565068,0.010000000953326628,0.010496479921391959
4,0.10000000007142745,0.10000000562734598,0.6999999943010483,0.07924962630767325,0.010000000189121455,0.010750373503383506
5,0.1000000024186315,0.1000002039058116,0.6999997936751243,0.0789919008229884,0.010000006037024263,0.011008093140420014
6,0.10000000136882274,0.10000012368518146,0.699999874947947,0.07873594608379993,0.010000003294183912,0.011264050620064874
7,0.10000000106104394,0.10000010090963857,0.6999998980309134,0.07847769450267217,0.010000002538597896,0.011522302957134018
8,0.10000000089660853,0.10000008936443804,0.6999999097399913,0.07821787076474486,0.010000002160995303,0.011782127073222072
9,0.1000000007825832,0.10000008163064272,0.6999999175873874,0.07795659959605637,0.01000000192063753,0.01204339848269266
10,0.10000000070001726,0.10000007618454139,0.6999999231157638,0.07769390713343957,0.010000001767817113,0.012306091098420926
11,0.10000000063998708,0.10000007237624961,0.6999999269838914,0.0774297997046437,0.010000001677839748,0.01257019861738855
12,0.10000000059519921,0.10000006967974466,0.6999999297250529,0.07716427732089794,0.010000001631010974,0.01283572104809441
13,0.1000000005602156,0.1000000677074876,0.6999999317322004,0.07689733679217042,0.010000001613164833,0.013102661594761221
14,0.1000000005312424,0.10000006619040634,0.6999999332781824,0.07662897309527042,0.010000001614771232,0.01337102529012713
15,0.10000000050577763,0.1000000649512873,0.6999999345427033,0.07635918012109462,0.010000001629735968,0.013640818249401318
16,0.10000000048223691,0.10000006387716821,0.6999999356403025,0.07608795111682716,0.010000001654286557,0.013912047229178753
17,0.10000000045967924,0.10000006290166247,0.6999999366383037,0.07581527893853486,0.01000000168627081,0.014184719375548832
18,0.1000000004375176,0.10000006198072606,0.6999999375813368,0.07554115620363312,0.010000001724413633,0.014458842072372795
19,0.10000000041537291,0.10000006108267354,0.6999999385014664,0.07526557537516221,0.01000000176800831,0.014734422857316702
20,0.10000000039299342,0.10000006018417273,0.6999999394222778,0.07498852880738058,0.010000001816827071,0.015011469376348407
21,0.1000000003701767,0.10000005923626436,0.6999999403929504,0.0747100087784426,0.010000001870251777,0.015289989351914115
22,0.1000000003484549,0.10000005782147124,0.6999999418297789,0.07443000751725867,0.010000001918638611,0.015569990564397822
23,0.10000000032657848,0.10000005642181344,0.6999999432516376,0.07414851714566054,0.0100000019753909,0.01585148087891903
24,0.10000000030483594,0.10000005520764434,0.6999999444878889,0.0738655297587524,0.010000002052144128,0.01613446818873426
25,0.1000000002770114,0.1000000532077238,0.699999946515986,0.07358103748037632,0.010000002121263011,0.016418960397639567
26,0.10000000028669868,0.10000005559143336,0.6999999441227305,0.07329503124910956,0.010000003454588078,0.0167049652954399
27,0.10000000030208854,0.10000005888763526,0.6999999408112413,0.07300750377695951,0.010000005183817088,0.016992491038258332
28,0.10000000031692306,0.1000000624037093,0.699999937280431,0.07271844710374584,0.01000000716768849,0.017281545727502557
29,0.10000000032821955,0.10000006540436787,0.6999999342685488,0.07242785333095023,0.010000009074619743,0.017572137593293794
30,0.10000000033532248,0.10000006782620978,0.6999999318396491,0.07213571413912141,0.010000011119210608,0.01786427474048649
31,0.10000000034060573,0.10000007021632472,0.6999999294442789,0.07184202103497428,0.010000013673536808,0.018157965290279597
32,0.10000000034350989,0.10000007245917464,0.6999999271985354,0.07154676567678271,0.010000016846699215,0.018453217475298215
33,0.10000000034493531,0.10000007474527858,0.6999999249110033,0.07124993955664126,0.010000020893508963,0.01875003954863246
34,0.10000000034734624,0.10000007762452723,0.6999999220293354,0.07095153387276533,0.010000026396039061,0.019048439729986807
35,0.10000000034949294,0.10000008091727336,0.6999999187344194,0.07065153962910745,0.01000003413696913,0.01934842623273759
36,0.1000000003520837,0.10000008489117752,0.699999914757882,0.07034994701286038,0.010000045881844631,0.019650007104151882
37,0.1000000003565092,0.10000009003145865,0.6999999096131044,0.07004674463988728,0.010000065379202035,0.019953189979838408
38,0.10000000036569659,0.10000009728220312,0.699999902353059,0.06974191762913523,0.010000100815696798,0.020257981554209284
39,0.100000000384755,0.10000010826884176,0.6999998913471813,0.06943544355050554,0.010000170100028415,0.020564386348688003
40,0.10000000042259488,0.1000001258468807,0.6999998737310179,0.06912728309258688,0.010000312845611292,0.020872404061308362
41,0.10000000049806716,0.10000015553130714,0.6999998439706929,0.06881735413810361,0.01000062389735718,0.021182021964472074
42,0.10000000066056178,0.10000020966058354,0.6999997896783507,0.06850538590875295,0.010001441187860175,0.02149317290389096
43,0.10000000106029876,0.10000033156422815,0.6999996673747019,0.0681892783687045,0.010005459749518693,0.021805261882548197
44,0.10000000349381641,0.10000101861407945,0.6999989778982029,0.06784585336796706,0.010042540908771078,0.022111605717163058
45,0.10000000167018716,0.1000004230429265,0.6999995752823671,0.06751190006375005,0.010065236063557059,0.02242286387721213
46,0.10000000055889999,0.10000014904073512,0.6999998503991068,0.06661670602008074,0.010808817707721982,0.022574476273455407
47,0.10000000132639351,0.10000045143020178,0.6999995472440199,0.06527471818034909,0.012125843612015618,0.02259943820702005
48,0.10000000053805996,0.10000019919657656,0.6999998002656079,0.06393357017354144,0.013439579729162477,0.022626850097051596
49,0.1000000003353006,0.10000012373275309,0.6999998759326461,0.06257519956910591,0.014773307139793884,0.02265149329040035
50,0.10000000024411171,0.1000000878620622,0.6999999118945174,0.06120887342098586,0.016115071306551192,0.02267605527177163
51,0.10000000019376255,0.10000007010433483,0.6999999297024256,0.059835123215015974,0.01746417517301451,0.022700701611446522
52,0.10000000015924819,0.10000006030397923,0.6999999395371157,0.058454036239409764,0.018820494135746914,0.02272546962450036
53,0.10000000013163955,0.10000005151806571,0.6999999483504261,0.05706559805283806,0.02018403462617003,0.022750367320860478
54,0.10000000018332858,0.10000005919864975,0.6999999406176963,0.055669774032773546,0.02155482996036327,0.0227753960071884
55,0.10000000019631472,0.1000000577490369,0.6999999420546232,0.05426652453335289,0.022932918113612335,0.02280055735305996
56,0.10000000019864577,0.1000000545380023,0.6999999452639373,0.05285581150373477,0.02431833634048822,0.022825852155191662
57,0.10000000026139454,0.10000006555368357,0.6999999341858462,0.05143759982542875,0.025711118442012765,0.02285128173163416
58,0.10000000031328975,0.10000007687290821,0.6999999228150097,0.050011848373103025,0.02711130458976851,0.02287684703592086
59,0.10000000034745012,0.10000008681506938,0.6999999128388803,0.048578516690923945,0.028518934556217835,0.022902548751458317
