Date,PortfolioDailyYield
2015-12-01,0.0
2015-12-02,0.0005244231148535672
2015-12-03,0.004403140682409212
2015-12-04,-0.0012376161524785267
2015-12-07,0.002845033745204395
2015-12-08,-0.0033070585362707794
2015-12-09,-0.0009411270084428436
2015-12-10,0.0005393770166879364
2015-12-11,-0.0011631754462880783
2015-12-14,0.0009217639045144832
2015-12-15,0.0004040798150928282
2015-12-16,0.0012010148240277907
2015-12-17,0.004649661654607007
2015-12-18,3.5613911859799785e-05
2015-12-21,0.003736646036658575
2015-12-22,0.0016341381115103637
2015-12-23,-0.000987105408870259
2015-12-24,0.0007439626478806804
2015-12-25,0.0005255526879803796
2015-12-28,-0.004814886947919317
2015-12-29,0.0014196656937872643
2015-12-30,0.0014692151483930438
2015-12-31,-0.0023982954133539014
2016-01-04,-0.014263800405479032
2016-01-05,-0.003555557786499075
2016-01-06,0.0028794243158944965
2016-01-07,-0.014360880610910898
2016-01-08,0.0025651225091802843
2016-01-11,-0.01007067552659413
2016-01-12,0.0031813243669644997
2016-01-13,-0.003481098589262155
2016-01-14,0.007072937040693894
2016-01-15,-0.012952890377661008
2016-01-18,0.00016596357901055292
2016-01-19,-0.0013190803073412916
2016-01-20,-0.00896777393885817
2016-01-21,-0.0057837322283329495
2016-01-22,0.003187268495020046
2016-01-25,-0.01547199745391703
2016-01-26,-0.01295860124049264
2016-01-27,-0.0012765647480402764
2016-01-28,-0.004948098952747615
2016-01-29,0.006910233396226095
2016-02-01,-0.0013720774254950552
2016-02-02,0.006221052738044408
2016-02-03,0.0010934455036515356
2016-02-04,0.003753809201392233
2016-02-05,-0.0019673459529319093
2016-02-15,0.0007473445140544488
2016-02-16,0.00904669850177009
2016-02-17,0.0027438116893765407
2016-02-18,0.00044563743120784594
2016-02-19,0.0002460946306530598
2016-02-22,0.002481331728276137
2016-02-23,-0.0013082187622293073
2016-02-24,-0.0009834067217519005
2016-02-25,-0.012356702931345165
2016-02-26,-3.155647573160891e-05
2016-02-29,-0.008436716338315331
2016-03-01,0.007960229383190853
2016-03-02,0.010140691197125129
2016-03-03,-0.0016206009250684383
2016-03-04,-0.005990462478852265
2016-03-07,0.003799239781600239
2016-03-08,0.003001365710445958
2016-03-09,-0.0030299559084803196
2016-03-10,-0.0027727545866855774
2016-03-11,0.00011944539542874111
2016-03-14,0.006564011348942911
2016-03-15,-0.0012282157715053366
2016-03-16,-0.001152310419785585
2016-03-17,0.007549164624438998
2016-03-18,0.009322581358856885
2016-03-21,0.004541380586322807
2016-03-22,-0.00043863146384925944
2016-03-23,0.0014395443569299449
2016-03-24,-0.0025204571724747327
2016-03-25,0.0002265702582466833
2016-03-28,-0.001656470731396853
2016-03-29,-0.003902574647475232
2016-03-30,0.00663502508571745
2016-03-31,-0.0007992430171165354
2016-04-01,-0.0014450017235989598
2016-04-05,0.0065245400423401545
2016-04-06,0.001132196101871763
2016-04-07,-0.0034690707170585977
2016-04-08,-0.0018773560916437448
2016-04-11,0.004667758610171768
2016-04-12,-0.0019387041486971235
2016-04-13,0.00314950892626098
2016-04-14,0.0008597197215749475
2016-04-15,-0.002788462606198472
2016-04-18,-0.0025981622641656488
2016-04-19,-0.00019239590337472023
2016-04-20,-0.008211137284535819
2016-04-21,-0.0026772828966382667
2016-04-22,0.0005594486732702908
2016-04-25,-0.0016255205176940457
2016-04-26,0.0009750114714350833
2016-04-27,-0.00046082567283001197
2016-04-28,0.0003326197859134794
2016-04-29,-0.0006552867799799467
2016-05-03,0.006884603784913512
2016-05-04,-0.00015531900062726312
2016-05-05,0.0009415594190982368
2016-05-06,-0.006412086252646221
2016-05-09,-0.005978988300921806
2016-05-10,0.0007329697912044075
2016-05-11,-0.0007088117490714474
2016-05-12,0.0006515548896297574
2016-05-13,-0.0004105841099147911
2016-05-16,0.002857841003539807
2016-05-17,0.00019443507760508183
2016-05-18,-0.005208878217691448
2016-05-19,-0.0004117723689400776
2016-05-20,0.002265103294598836
2016-05-23,0.002094454578388971
2016-05-24,-0.0014712830017203915
2016-05-25,-0.0005141446267694638
2016-05-26,0.0010421363522981064
2016-05-27,-0.0006813947188617497
2016-05-30,-0.0005838448916233308
2016-05-31,0.008389088615518236
2016-06-01,-0.03326613768094977
2016-06-02,0.0004894364736818257
2016-06-03,0.000858277273234842
2016-06-06,0.0009386643415714158
2016-06-07,-0.003435278211396331
2016-06-08,9.65402796710979e-05
2016-06-13,-0.004962396322808593
2016-06-14,0.0010489829274376028
2016-06-15,0.0044282041762016
2016-06-16,-0.001282863431904424
2016-06-17,0.0014192678650444268
2016-06-20,0.0009852164067083446
2016-06-21,-0.001612275987169287
2016-06-22,0.002384850051165399
2016-06-23,0.0002492496303621028
2016-06-24,-0.0018019757609724074
2016-06-27,0.0031055319674844206
2016-06-28,0.0016091642277691331
2016-06-29,0.0016517670834168552
2016-06-30,0.00029433273883805455
2016-07-01,0.0007657636723747974
2016-07-04,0.004846340536211136
2016-07-05,0.0004761349493414002
2016-07-06,0.0011773328970221542
2016-07-07,0.0003963591999107674
2016-07-08,-0.00017597899419807828
2016-07-11,-0.000602696875106612
2016-07-12,0.0025415315287895535
2016-07-13,0.0031316618399190865
2016-07-14,-0.0007815896353688956
2016-07-15,-0.0001661034631084135
2016-07-18,-0.0011481687210235236
2016-07-19,0.00025368811425408033
2016-07-20,0.0006637198962242685
2016-07-21,0.0025453993526087793
2016-07-22,-0.001777830078766307
2016-07-25,4.945371327957915e-05
2016-07-26,0.0029648227396115168
2016-07-27,-0.005958855341552161
2016-07-28,0.00022230746877127672
