,090002.OF,165509.OF,161216.OF,050002.OF,159915.OF,165511.OF
0,0.10000000136291476,0.10000001011031008,0.6999999885260167,0.010000000419301314,0.07999641027292587,0.010003589308531232
1,0.10000000516895892,0.1000000385253393,0.69999995630166,0.010000001616943864,0.07986816795690814,0.010131830430189764
2,0.10000000611600335,0.10000004998920954,0.6999999438983585,0.010000001472054336,0.07955960599052955,0.01044039253384472
3,0.10000000065776828,0.10000000574551202,0.6999999935962968,0.01000000012762218,0.07924485145831124,0.010755148414489444
4,0.10000000021392427,0.10000000195949797,0.6999999978265,0.010000000035907708,0.07892248368670707,0.011077516277462883
5,0.10000000988462952,0.10000009579367676,0.6999998943229306,0.010000001355713573,0.07859587168854905,0.011404126954500497
6,0.10000000673022358,0.10000006849052874,0.6999999247805763,0.010000000792799469,0.07827114452309125,0.011728854682780706
7,0.10000000531138308,0.10000005649543829,0.6999999381934165,0.010000000576078678,0.07794374738133042,0.012056252042353017
8,0.1000000043563608,0.10000004853087396,0.6999999471121694,0.010000000446593908,0.07761436563211707,0.012385633921884914
9,0.10000000367137174,0.10000004294687995,0.6999999533806666,0.010000000360678859,0.0772831416711063,0.012716857969296664
10,0.10000000318732762,0.1000000392516668,0.6999999575597003,0.010000000304528526,0.07695010978516466,0.013049889911612055
11,0.10000000284157458,0.10000003694074501,0.699999960216323,0.010000000267472189,0.07661528009445857,0.013384719639426475
12,0.10000000258366519,0.10000003557102581,0.699999961844001,0.010000000241629952,0.07627865409108017,0.013721345668597926
13,0.10000000237881701,0.10000003481712433,0.6999999628028539,0.010000000221940029,0.07594022876675623,0.01405977101250858
14,0.10000000220927048,0.10000003452477586,0.699999963264874,0.010000000205870042,0.07559999836996166,0.014400001425247869
15,0.10000000205895866,0.100000034515993,0.6999999634241006,0.010000000191572956,0.0752579555710137,0.014742044238361002
16,0.10000000191667116,0.10000003463802401,0.6999999634444883,0.010000000177936655,0.07491409204756784,0.015085907775312105
17,0.10000000178274865,0.10000003490700579,0.6999999633095524,0.01000000016504584,0.07456839879687353,0.015431601038773914
18,0.10000000165711297,0.10000003533378429,0.699999963008522,0.010000000152966891,0.07422086649036826,0.015779133357245484
19,0.10000000153936457,0.10000003592493995,0.699999962535216,0.010000000141729479,0.07387148558797364,0.0161285142707765
20,0.1000000014289202,0.10000003668484714,0.699999961885843,0.010000000131332237,0.07352024639967734,0.016479753469380087
21,0.10000000132533465,0.10000003762400063,0.6999999610503547,0.010000000121773966,0.07316713914243815,0.016832860736098038
22,0.10000000122779654,0.10000003874669744,0.6999999600252663,0.010000000113011694,0.07281215394124553,0.017187845945982494
23,0.10000000113570154,0.10000004006717043,0.6999999587969506,0.010000000105018015,0.0724552808569552,0.01754471903820415
24,0.10000000104802381,0.10000004159089945,0.6999999573609553,0.010000000097727052,0.07209650988349033,0.01790349001890408
25,0.10000000096371425,0.10000004332567394,0.6999999557105413,0.010000000091073899,0.07173583095743263,0.01826416895156404
26,0.10000000088173269,0.10000004528493806,0.699999953833306,0.010000000085000228,0.07137323395422618,0.018626765960796852
27,0.10000000086917912,0.1000000484597101,0.6999999506711315,0.010000000081584732,0.07100870863126336,0.01899129128713129
28,0.10000000091226799,0.1000000527965301,0.6999999462912588,0.010000000080379315,0.0706422447738324,0.0193577551457315
29,0.10000000095092423,0.10000005752157803,0.6999999415275845,0.010000000079484804,0.07027383214128664,0.01972616777914186
30,0.10000000098658729,0.10000006270896997,0.6999999363045553,0.010000000078916233,0.06990346037771059,0.020096539543260836
31,0.10000000102085656,0.10000006846784736,0.6999999305114314,0.010000000078715359,0.06953111907084336,0.02046888085030597
32,0.10000000105526954,0.10000007493494026,0.6999999240099471,0.010000000078928319,0.06915679775316998,0.020843202167744754
33,0.10000000109124094,0.10000008227754154,0.6999999166313959,0.010000000079600778,0.06878048590073789,0.02121951401948296
34,0.10000000112986263,0.10000009068686855,0.699999908183469,0.010000000080764546,0.06840217293437205,0.021597826984663143
35,0.10000000117252389,0.10000010043661059,0.6999998983910888,0.010000000082483673,0.06802184821804608,0.02197815169924704
36,0.10000000122089146,0.10000011190889843,0.699999886870458,0.010000000084852759,0.06763950106132074,0.022360498853578686
37,0.10000000127667376,0.10000012560704107,0.699999873116559,0.010000000087983274,0.06725512071749681,0.02274487919424608
38,0.10000000134202197,0.10000014223579001,0.699999856422489,0.01000000009203675,0.06686869638619124,0.02313130352147119
39,0.10000000142040667,0.10000016286509318,0.6999998357148284,0.010000000097292636,0.06648021721353316,0.02351978268884591
40,0.10000000151565426,0.10000018892601081,0.6999998095586889,0.010000000104094381,0.06608967229380665,0.02391032760174506
41,0.10000000163471896,0.10000022266825687,0.6999997756973995,0.010000000113057954,0.06569705067298315,0.024302949213583665
42,0.10000000178668303,0.10000026724802769,0.6999997309656768,0.010000000125029742,0.06530234135304194,0.02469765852154081
43,0.10000000198573847,0.10000032738222095,0.6999996706324242,0.010000000141328102,0.06490553329872643,0.025094466559561955
44,0.10000000225313045,0.1000004100231126,0.6999995877241098,0.010000000163927249,0.06450661544675376,0.025493384388966128
45,0.10000000261923866,0.10000052516527942,0.6999994722157618,0.010000000195658896,0.06410557671875004,0.025894423085311428
46,0.10000000312911839,0.10000068749815201,0.6999993093728721,0.010000000240671514,0.06370240604660121,0.026297593712584687
47,0.10000000384578676,0.10000091807553226,0.6999990780785922,0.010000000304727887,0.06329709238864242,0.02670290730671834
